Station,Period,Month,Pval_mean,Pval_med
Grand_Bend_Goderich,2017-2019,January,0.0308,0.0166
Grand_Bend_Goderich,2017-2019,February,0.1399,0.7944
Grand_Bend_Goderich,2017-2019,March,0.736,0.474
Grand_Bend_Goderich,2017-2019,April,0.0016,0.0019
Grand_Bend_Goderich,2017-2019,May,5.00E-04,0.0018
Grand_Bend_Goderich,2017-2019,June,0.2986,0.1973
Grand_Bend_Goderich,2020,January,0.0499,0.1856
Grand_Bend_Goderich,2020,February,0.5868,0.4987
Grand_Bend_Goderich,2020,March,0.0046,0.0028
Grand_Bend_Goderich,2020,April,0.2202,0.1501
Grand_Bend_Goderich,2020,May,0.3287,0.7281
Grand_Bend_Goderich,2020,June,0.1142,0.2683
Guelph,2017-2019,January,0.0263,0.0015
Guelph,2017-2019,February,0.1718,0.8479
Guelph,2017-2019,March,0.4983,0.5836
Guelph,2017-2019,April,0,5.00E-04
Guelph,2017-2019,May,5.00E-04,9.00E-04
Guelph,2017-2019,June,0.8723,0.867
Guelph,2020,January,0.0722,0.2005
Guelph,2020,February,0.5939,0.3354
Guelph,2020,March,0.0014,0.0105
Guelph,2020,April,0.4166,0.675
Guelph,2020,May,0.5303,0.733
Guelph,2020,June,0.1141,0.0305
Hamilton_Downtown,2017-2019,January,0.0216,0.0085
Hamilton_Downtown,2017-2019,February,0.1522,0.5052
Hamilton_Downtown,2017-2019,March,0.5453,0.1937
Hamilton_Downtown,2017-2019,April,0.0022,0.0176
Hamilton_Downtown,2017-2019,May,8.00E-04,0.0015
Hamilton_Downtown,2017-2019,June,0.4618,0.7867
Hamilton_Downtown,2020,January,NA,NA
Hamilton_Downtown,2020,February,NA,NA
Hamilton_Downtown,2020,March,NA,NA
Hamilton_Downtown,2020,April,NA,NA
Hamilton_Downtown,2020,May,0.1191,0.2423
Hamilton_Downtown,2020,June,0.0558,0.0124
Hamilton_West_Hamilton_Mountain,2017-2019,January,0.01,0.0015
Hamilton_West_Hamilton_Mountain,2017-2019,February,0.1252,0.5978
Hamilton_West_Hamilton_Mountain,2017-2019,March,0.7052,0.4063
Hamilton_West_Hamilton_Mountain,2017-2019,April,0.0011,0.0223
Hamilton_West_Hamilton_Mountain,2017-2019,May,0.0011,0.0123
Hamilton_West_Hamilton_Mountain,2017-2019,June,0.939,0.9835
Hamilton_West_Hamilton_Mountain,2020,January,0.0677,0.3389
Hamilton_West_Hamilton_Mountain,2020,February,0.3163,0.1037
Hamilton_West_Hamilton_Mountain,2020,March,0.0018,0.008
Hamilton_West_Hamilton_Mountain,2020,April,0.586,0.6896
Hamilton_West_Hamilton_Mountain,2020,May,0.2148,0.1932
Hamilton_West_Hamilton_Mountain,2020,June,0.0881,0.0222
Kitchener_Waterloo,2017-2019,January,0.0095,0.0039
Kitchener_Waterloo,2017-2019,February,0.1563,0.8601
Kitchener_Waterloo,2017-2019,March,0.3606,0.2163
Kitchener_Waterloo,2017-2019,April,7.00E-04,0.0015
Kitchener_Waterloo,2017-2019,May,1.00E-04,0.0098
Kitchener_Waterloo,2017-2019,June,0.5877,0.64
Kitchener_Waterloo,2020,January,0.0626,0.3079
Kitchener_Waterloo,2020,February,0.3692,0.2221
Kitchener_Waterloo,2020,March,0.001,0.0088
Kitchener_Waterloo,2020,April,0.3977,0.7106
Kitchener_Waterloo,2020,May,0.1831,0.278
Kitchener_Waterloo,2020,June,0.1377,0.0269
London,2017-2019,January,0.0119,0.0025
London,2017-2019,February,0.1384,0.7954
London,2017-2019,March,0.4024,0.0811
London,2017-2019,April,1.00E-04,0.0029
London,2017-2019,May,5.00E-04,0.0011
London,2017-2019,June,0.7636,0.9735
London,2020,January,0.0415,0.1095
London,2020,February,0.5779,0.4879
London,2020,March,6.00E-04,0.0018
London,2020,April,0.2853,0.5815
London,2020,May,0.1898,0.3515
London,2020,June,0.2466,0.0714
Ottawa_Downtown,2017-2019,January,7.00E-04,3.00E-04
Ottawa_Downtown,2017-2019,February,0.1673,0.5119
Ottawa_Downtown,2017-2019,March,0.0714,0.202
Ottawa_Downtown,2017-2019,April,0.0178,0.1167
Ottawa_Downtown,2017-2019,May,8.00E-04,0.0038
Ottawa_Downtown,2017-2019,June,0.9559,0.7961
Ottawa_Downtown,2020,January,0.1613,0.4758
Ottawa_Downtown,2020,February,0.8918,0.9616
Ottawa_Downtown,2020,March,0.0011,0.0473
Ottawa_Downtown,2020,April,0.6252,0.7425
Ottawa_Downtown,2020,May,0.8815,0.6657
Ottawa_Downtown,2020,June,0.1021,0.0472
Parry_Sound,2017-2019,January,0.0276,0.0741
Parry_Sound,2017-2019,February,NA,NA
Parry_Sound,2017-2019,March,NA,NA
Parry_Sound,2017-2019,April,0.0199,0.2531
Parry_Sound,2017-2019,May,0.0014,0.0132
Parry_Sound,2017-2019,June,0.2918,0.2225
Parry_Sound,2020,January,0.2262,0.6625
Parry_Sound,2020,February,0.8365,0.5942
Parry_Sound,2020,March,0.0041,0.0165
Parry_Sound,2020,April,0.16,0.2878
Parry_Sound,2020,May,0.8759,0.3384
Parry_Sound,2020,June,0.0624,0.1893
Sarnia,2017-2019,January,0.1136,0.0273
Sarnia,2017-2019,February,0.2001,0.5411
Sarnia,2017-2019,March,0.9932,0.4434
Sarnia,2017-2019,April,0.0025,0.0096
Sarnia,2017-2019,May,0.0104,0.3232
Sarnia,2017-2019,June,0.3725,0.517
Sarnia,2020,January,0.005,0.0192
Sarnia,2020,February,0.7398,0.5283
Sarnia,2020,March,0,6.00E-04
Sarnia,2020,April,0.2793,0.352
Sarnia,2020,May,0.2989,0.9898
Sarnia,2020,June,0.1438,0.0759
Toronto,2017-2019,January,0.0083,0.0134
Toronto,2017-2019,February,0.1226,0.3975
Toronto,2017-2019,March,0.562,0.1953
Toronto,2017-2019,April,5.00E-04,0.0021
Toronto,2017-2019,May,1.00E-04,0.0064
Toronto,2017-2019,June,0.646,0.9508
Toronto,2020,January,0.1389,0.5907
Toronto,2020,February,0.549,0.4233
Toronto,2020,March,3.00E-04,0.0047
Toronto,2020,April,0.5021,0.7842
Toronto,2020,May,0.164,0.7718
Toronto,2020,June,0.0293,0.0193
Toronto_Downtown,2017-2019,January,0.0378,0.0125
Toronto_Downtown,2017-2019,February,0.0727,0.3567
Toronto_Downtown,2017-2019,March,0.5315,0.6246
Toronto_Downtown,2017-2019,April,0.0013,0.0036
Toronto_Downtown,2017-2019,May,0.0127,0.0628
Toronto_Downtown,2017-2019,June,0.47,0.5424
Toronto_Downtown,2020,January,0.0888,0.1743
Toronto_Downtown,2020,February,0.562,0.6295
Toronto_Downtown,2020,March,1.00E-04,0.0035
Toronto_Downtown,2020,April,0.9397,0.8185
Toronto_Downtown,2020,May,0.2322,0.5192
Toronto_Downtown,2020,June,0.2768,0.2419
Toronto_East,2017-2019,January,NA,NA
Toronto_East,2017-2019,February,NA,NA
Toronto_East,2017-2019,March,NA,NA
Toronto_East,2017-2019,April,NA,NA
Toronto_East,2017-2019,May,NA,NA
Toronto_East,2017-2019,June,NA,NA
Toronto_East,2020,January,0.0379,0.1142
Toronto_East,2020,February,0.4426,0.7139
Toronto_East,2020,March,0.0021,0.0502
Toronto_East,2020,April,0.602,0.6894
Toronto_East,2020,May,0.7899,0.5726
Toronto_East,2020,June,0.028,0.1101
Toronto_North,2017-2019,January,0.0094,0.0035
Toronto_North,2017-2019,February,0.1257,0.4625
Toronto_North,2017-2019,March,0.7935,0.5571
Toronto_North,2017-2019,April,0.0077,0.0174
Toronto_North,2017-2019,May,1.00E-04,1.00E-04
Toronto_North,2017-2019,June,0.6496,0.8766
Toronto_North,2020,January,0.1506,0.5381
Toronto_North,2020,February,0.5302,0.5653
Toronto_North,2020,March,0.0016,0.0171
Toronto_North,2020,April,0.4448,0.5373
Toronto_North,2020,May,0.3522,0.8243
Toronto_North,2020,June,0.0127,0.0113
Windsor_Downtown_Windsor_West,2017-2019,January,0.042,0.0095
Windsor_Downtown_Windsor_West,2017-2019,February,0.0592,0.2009
Windsor_Downtown_Windsor_West,2017-2019,March,0.4564,0.3259
Windsor_Downtown_Windsor_West,2017-2019,April,2.00E-04,0.002
Windsor_Downtown_Windsor_West,2017-2019,May,0.0041,0.087
Windsor_Downtown_Windsor_West,2017-2019,June,0.241,0.4256
Windsor_Downtown_Windsor_West,2020,January,0.0492,0.1445
Windsor_Downtown_Windsor_West,2020,February,0.372,0.4025
Windsor_Downtown_Windsor_West,2020,March,7.00E-04,0.0051
Windsor_Downtown_Windsor_West,2020,April,0.1016,0.1197
Windsor_Downtown_Windsor_West,2020,May,0.1727,0.1506
Windsor_Downtown_Windsor_West,2020,June,0.07,0.0185